conv_id,dataset,topic,annotator,llm_slot,llm_name,u,r,n_pairs,rho,p,T
CareBench_topic01,CareBench,1,,1,Qwen,U1,SEN,10,,,10
CareBench_topic01,CareBench,1,,1,Qwen,U1,AUR,10,0.19920476822239894,0.5811238238710119,10
CareBench_topic01,CareBench,1,,1,Qwen,U1,TD,10,-0.46481112585226414,0.17588776454383787,10
CareBench_topic01,CareBench,1,,1,Qwen,U1,FIX,10,-0.2828894749305018,0.42836876639751775,10
CareBench_topic01,CareBench,1,,1,Qwen,U1,RT,10,-0.46481112585226414,0.17588776454383787,10
CareBench_topic01,CareBench,1,,1,Qwen,U1,TN,10,0.0,1.0,10
CareBench_topic01,CareBench,1,,1,Qwen,U1,QOC,10,-0.4682539682539682,0.17228144428102785,10
CareBench_topic01,CareBench,1,,1,Qwen,U1,LM,10,0.3187276291558383,0.3693989369896329,10
CareBench_topic01,CareBench,1,,1,Qwen,U1,ME,10,,,10
CareBench_topic01,CareBench,1,,1,Qwen,U1,EMP,10,-0.24900596027799865,0.4878351475246331,10
CareBench_topic01,CareBench,1,,1,Qwen,U2,SEN,10,,,10
CareBench_topic01,CareBench,1,,1,Qwen,U2,AUR,10,-0.4082482904638631,0.24150397191305997,10
CareBench_topic01,CareBench,1,,1,Qwen,U2,TD,10,-0.2721655269759087,0.44681333411490864,10
CareBench_topic01,CareBench,1,,1,Qwen,U2,FIX,10,-0.13176156917368248,0.7167236240938732,10
CareBench_topic01,CareBench,1,,1,Qwen,U2,RT,10,-0.2721655269759087,0.44681333411490864,10
CareBench_topic01,CareBench,1,,1,Qwen,U2,TN,10,-0.26352313834736496,0.4619344521730461,10
CareBench_topic01,CareBench,1,,1,Qwen,U2,QOC,10,-0.6506000486323554,0.04164620924187584,10
CareBench_topic01,CareBench,1,,1,Qwen,U2,LM,10,0.4082482904638631,0.24150397191305997,10
CareBench_topic01,CareBench,1,,1,Qwen,U2,ME,10,,,10
CareBench_topic01,CareBench,1,,1,Qwen,U2,EMP,10,-0.4082482904638631,0.24150397191305997,10
CareBench_topic01,CareBench,1,,1,Qwen,U3,SEN,10,,,10
CareBench_topic01,CareBench,1,,1,Qwen,U3,AUR,10,,,10
CareBench_topic01,CareBench,1,,1,Qwen,U3,TD,10,,,10
CareBench_topic01,CareBench,1,,1,Qwen,U3,FIX,10,,,10
CareBench_topic01,CareBench,1,,1,Qwen,U3,RT,10,,,10
CareBench_topic01,CareBench,1,,1,Qwen,U3,TN,10,,,10
CareBench_topic01,CareBench,1,,1,Qwen,U3,QOC,10,,,10
CareBench_topic01,CareBench,1,,1,Qwen,U3,LM,10,,,10
CareBench_topic01,CareBench,1,,1,Qwen,U3,ME,10,,,10
CareBench_topic01,CareBench,1,,1,Qwen,U3,EMP,10,,,10
CareBench_topic01,CareBench,1,,1,Qwen,U4,SEN,10,,,10
CareBench_topic01,CareBench,1,,1,Qwen,U4,AUR,10,-0.16666666666666666,0.6453763092278236,10
CareBench_topic01,CareBench,1,,1,Qwen,U4,TD,10,0.9999999999999999,6.646897422032013e-64,10
CareBench_topic01,CareBench,1,,1,Qwen,U4,FIX,10,0.6454972243679028,0.043824550637027594,10
CareBench_topic01,CareBench,1,,1,Qwen,U4,RT,10,0.9999999999999999,6.646897422032013e-64,10
CareBench_topic01,CareBench,1,,1,Qwen,U4,TN,10,0.4303314829119352,0.21445866072113856,10
CareBench_topic01,CareBench,1,,1,Qwen,U4,QOC,10,0.46481112585226414,0.17588776454383787,10
CareBench_topic01,CareBench,1,,1,Qwen,U4,LM,10,-0.3333333333333333,0.34659350708733416,10
CareBench_topic01,CareBench,1,,1,Qwen,U4,ME,10,,,10
CareBench_topic01,CareBench,1,,1,Qwen,U4,EMP,10,0.6666666666666666,0.03526520347508,10
CareBench_topic01,CareBench,1,,1,Qwen,U5,SEN,10,,,10
CareBench_topic01,CareBench,1,,1,Qwen,U5,AUR,10,,,10
CareBench_topic01,CareBench,1,,1,Qwen,U5,TD,10,,,10
CareBench_topic01,CareBench,1,,1,Qwen,U5,FIX,10,,,10
CareBench_topic01,CareBench,1,,1,Qwen,U5,RT,10,,,10
CareBench_topic01,CareBench,1,,1,Qwen,U5,TN,10,,,10
CareBench_topic01,CareBench,1,,1,Qwen,U5,QOC,10,,,10
CareBench_topic01,CareBench,1,,1,Qwen,U5,LM,10,,,10
CareBench_topic01,CareBench,1,,1,Qwen,U5,ME,10,,,10
CareBench_topic01,CareBench,1,,1,Qwen,U5,EMP,10,,,10
CareBench_topic01,CareBench,1,,2,Llama,U1,SEN,10,,,10
CareBench_topic01,CareBench,1,,2,Llama,U1,AUR,10,,,10
CareBench_topic01,CareBench,1,,2,Llama,U1,TD,10,-0.09001028747788695,0.8046899908954229,10
CareBench_topic01,CareBench,1,,2,Llama,U1,FIX,10,-0.49719968321118496,0.14371204045009567,10
CareBench_topic01,CareBench,1,,2,Llama,U1,RT,10,-0.5651105752037426,0.08870338859279256,10
CareBench_topic01,CareBench,1,,2,Llama,U1,TN,10,-0.547813112611597,0.10115358560782096,10
CareBench_topic01,CareBench,1,,2,Llama,U1,QOC,10,0.24603174603174596,0.4932171981429677,10
CareBench_topic01,CareBench,1,,2,Llama,U1,LM,10,0.04141077888315734,0.90956910319887,10
CareBench_topic01,CareBench,1,,2,Llama,U1,ME,10,,,10
CareBench_topic01,CareBench,1,,2,Llama,U1,EMP,10,0.08730158730158728,0.8104766415212147,10
CareBench_topic01,CareBench,1,,2,Llama,U2,SEN,10,,,10
CareBench_topic01,CareBench,1,,2,Llama,U2,AUR,10,,,10
CareBench_topic01,CareBench,1,,2,Llama,U2,TD,10,-0.5270462766947299,0.11749458266709459,10
CareBench_topic01,CareBench,1,,2,Llama,U2,FIX,10,-0.30744366140525914,0.3875118445626575,10
CareBench_topic01,CareBench,1,,2,Llama,U2,RT,10,-0.3563483225498992,0.31215994619329673,10
CareBench_topic01,CareBench,1,,2,Llama,U2,TN,10,-0.10206207261596577,0.7790503501599918,10
CareBench_topic01,CareBench,1,,2,Llama,U2,QOC,10,-0.2846375212766555,0.425396243625074,10
CareBench_topic01,CareBench,1,,2,Llama,U2,LM,10,0.15430334996209194,0.6703838965731981,10
CareBench_topic01,CareBench,1,,2,Llama,U2,ME,10,,,10
CareBench_topic01,CareBench,1,,2,Llama,U2,EMP,10,0.040662503039522215,0.9111977008855343,10
CareBench_topic01,CareBench,1,,2,Llama,U3,SEN,10,,,10
CareBench_topic01,CareBench,1,,2,Llama,U3,AUR,10,,,10
CareBench_topic01,CareBench,1,,2,Llama,U3,TD,10,,,10
CareBench_topic01,CareBench,1,,2,Llama,U3,FIX,10,,,10
CareBench_topic01,CareBench,1,,2,Llama,U3,RT,10,,,10
CareBench_topic01,CareBench,1,,2,Llama,U3,TN,10,,,10
CareBench_topic01,CareBench,1,,2,Llama,U3,QOC,10,,,10
CareBench_topic01,CareBench,1,,2,Llama,U3,LM,10,,,10
CareBench_topic01,CareBench,1,,2,Llama,U3,ME,10,,,10
CareBench_topic01,CareBench,1,,2,Llama,U3,EMP,10,,,10
CareBench_topic01,CareBench,1,,2,Llama,U4,SEN,10,,,10
CareBench_topic01,CareBench,1,,2,Llama,U4,AUR,10,,,10
CareBench_topic01,CareBench,1,,2,Llama,U4,TD,10,0.4303314829119352,0.21445866072113856,10
CareBench_topic01,CareBench,1,,2,Llama,U4,FIX,10,0.2151657414559676,0.5505168326655957,10
CareBench_topic01,CareBench,1,,2,Llama,U4,RT,10,0.21821789023599233,0.5447373008044911,10
CareBench_topic01,CareBench,1,,2,Llama,U4,TN,10,0.16666666666666666,0.6453763092278236,10
CareBench_topic01,CareBench,1,,2,Llama,U4,QOC,10,0.3320079470373315,0.34863280003418556,10
CareBench_topic01,CareBench,1,,2,Llama,U4,LM,10,-0.06299407883487121,0.8627459754188835,10
CareBench_topic01,CareBench,1,,2,Llama,U4,ME,10,,,10
CareBench_topic01,CareBench,1,,2,Llama,U4,EMP,10,0.46481112585226414,0.17588776454383787,10
CareBench_topic01,CareBench,1,,2,Llama,U5,SEN,10,,,10
CareBench_topic01,CareBench,1,,2,Llama,U5,AUR,10,,,10
CareBench_topic01,CareBench,1,,2,Llama,U5,TD,10,,,10
CareBench_topic01,CareBench,1,,2,Llama,U5,FIX,10,,,10
CareBench_topic01,CareBench,1,,2,Llama,U5,RT,10,,,10
CareBench_topic01,CareBench,1,,2,Llama,U5,TN,10,,,10
CareBench_topic01,CareBench,1,,2,Llama,U5,QOC,10,,,10
CareBench_topic01,CareBench,1,,2,Llama,U5,LM,10,,,10
CareBench_topic01,CareBench,1,,2,Llama,U5,ME,10,,,10
CareBench_topic01,CareBench,1,,2,Llama,U5,EMP,10,,,10
CareBench_topic01,CareBench,1,,3,GPT,U1,SEN,10,,,10
CareBench_topic01,CareBench,1,,3,GPT,U1,AUR,10,,,10
CareBench_topic01,CareBench,1,,3,GPT,U1,TD,10,,,10
CareBench_topic01,CareBench,1,,3,GPT,U1,FIX,10,-0.39433078323645715,0.2594818270966312,10
CareBench_topic01,CareBench,1,,3,GPT,U1,RT,10,0.13041013273932525,0.7195300967415228,10
CareBench_topic01,CareBench,1,,3,GPT,U1,TN,10,-0.0038336975519019673,0.9916139098582927,10
CareBench_topic01,CareBench,1,,3,GPT,U1,QOC,10,0.07286547081543229,0.8414503687283961,10
CareBench_topic01,CareBench,1,,3,GPT,U1,LM,10,-0.1495142045241767,0.680151448924815,10
CareBench_topic01,CareBench,1,,3,GPT,U1,ME,10,0.13280317881493262,0.7145626356720207,10
CareBench_topic01,CareBench,1,,3,GPT,U1,EMP,10,-0.040662503039522215,0.9111977008855343,10
CareBench_topic01,CareBench,1,,3,GPT,U2,SEN,10,,,10
CareBench_topic01,CareBench,1,,3,GPT,U2,AUR,10,,,10
CareBench_topic01,CareBench,1,,3,GPT,U2,TD,10,,,10
